I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2595	Tsu	1901	8	9	13	1	    	60	 8.4		 8.4				 8.4		NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -22.000	  170.000	170								1						1						2				
2596	Tsu	1901	8	9	18	33	 45.0	33	 8.2		 8.2						JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	  40.600	  142.300	30	      18	1						2	8	1			      18	1						2	8	1		
2597	Tsu	1901	8	9	20	0		33	 6.3		 6.3						JAPAN		JAPAN:  OFF NORTHEAST COAST HONSHU	  40.500	  142.500	30																								
2598	Tsu	1901	9	10	0	30										7	PHILIPPINES		PHILIPPINES:  LUZON:  E TAYABAS,CALAUAG BAY	  14.000	  121.600	170								2				2								2				2
9352	Tsu	1901	10	8	2	16			 7.0		 7.0						NICARAGUA		NICARAGUA	  11.000	  -86.500	100								1												1				
2599		1901	11	8	10	18	    		 6.1						 6.1	8	TURKEY		TURKEY:  HASANKALE,HINS,ERZURUM	  40.000	   41.500	140								3																
2601		1901	12	14	22	57	 45.0	33	 7.8		 7.8					7	PHILIPPINES		PHILIPPINES:  LUZON	  14.000	  122.000	170								1												1				
2602		1901	12	18	3	51			 5.9		 5.9					8	TURKEY		TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS	  39.400	   26.700	140								2																
2603	Tsu	1901	12	31	9	2	 30.0		 7.8		 7.8				 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  51.450	 -171.020	150								1																
2606		1902	1	1	5	20	    		 7.8						 7.8		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  52.400	 -167.500	150																								
2608		1902	1	16					 7.0		 7.0						MEXICO		MEXICO:  GUERRERO	  17.600	  -99.700	150	       2	1						2					       2	1			2	1		2				
8773	Tsu	1902	1	18	23	23			 6.3		 6.3						GUATEMALA		GUATEMALA:  SAN MARTIN, QUEZALTENANGO	  14.710	  -91.590	100								1		1		1								1		1		
2610		1902	1	24	23	27		60	 7.8		 7.8						PAPUA NEW GUINEA		PAPUA NEW GUINEA	  -8.000	  150.000	170																								
2612		1902	2	9	7	35	    	60	 7.8						 7.8		TONGA		TONGA ISLANDS	 -20.000	 -174.000	170																								
2613		1902	2	13	9	39	 30.0	15	 6.9		 6.9					9	AZERBAIJAN		AZERBAIJAN:  SEMACHA; N IRAN	  40.700	   48.600	40	      86	2			        60	2		4	3496	4	3496	4	      86	2			60	2		4	3496	4		
2614	Tsu	1902	2	26					 7.0		 7.0						EL SALVADOR		EL SALVADOR-GUATEMALA	  13.500	  -89.500	100													     185	3			100	2		3				
2615		1902	3	9	7	46	    		 5.5						 5.5	9	TURKEY		TURKEY:  CANKIRI	  40.700	   33.600	140	       4	1						3																
2618	Tsu	1902	4	19	2	23	 30.0	33	 7.5		 7.5						GUATEMALA		GUATEMALA:  QUEZALTENANGO, SAN MARCOS	  14.000	  -91.000	100	    2000	4						3					    2000	4						3				
2619		1902	4	29	6	57	    									7	USA	CA	CALIFORNIA:  SOUTHERN	  34.500	 -120.500	150								2																
2621		1902	6	9			    										IRAN		IRAN:  QESHM,BANDAR ABBAS	  26.600	   56.200	140	      10	1						2																
2622		1902	6	11	5			600	 8.0		 8.0					4	RUSSIA		RUSSIA:  SEA OF OKHOTSK	  50.000	  148.000	50																								
2623	Tsu	1902	7	5	14	56	 30.0		 6.6		 6.6					9	TURKEY		TURKEY:  THESSALONIKI	  40.750	   23.250	140																								
2624		1902	7	9	3	38	    										IRAN		IRAN:  QESHM ISLAND:  QESHM,BANDAR ABBAS,GENU	  27.100	   56.300	140								2																
2626	Tsu	1902	8	21	11	17			 7.3		 7.3					10	PHILIPPINES		PHILIPPINES:  MINDANAO:  LANAO, COTABATO	   7.500	  123.500	170		3						3		3				3						3		3		
2631		1902	8	22	3			30	 7.7	 7.7	 7.7					10	CHINA		CHINA:  XINJIANG, TURKESTAN	  39.880	   76.200	40	    2500	4						4		4		4	    2500	4						4		4		
2632		1902	8	26	1	9	    									9	PHILIPPINES		PHILIPPINES:  ILOILO,PANAY	  10.800	  122.600	170								3																
8116		1902	8						 5.5		 5.5					7	CHINA		CHINA:   YUNNAN PROVINCE	  26.300	   99.900	30	       6	1						2		3		3	       6	1						2		3		
2634		1902	9	22	1	46	 30.0	33	 8.1		 8.1					9	USA TERRITORY	GU	GUAM:  AGANA	  18.000	  146.000	170						1		3										1		3				
2635		1902	9	23	20	18	 30.0	100	 7.8		 7.8						MEXICO		MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO	  16.600	  -92.600	150								3												3				
2637		1902	12	12	23	10		60	 7.8		 7.8						MEXICO		MEXICO:  BAJA CALIFORNIA	  29.000	 -114.000	150																								
2640		1902	12	16	5	7		9	 6.4		 6.4					9	UZBEKISTAN		UZBEKISTAN:   ANDIZHAN	  40.800	   72.300	40	    4880	4						4	41704	4	41704	4	    4880	4						4	41704	4		
2641		1903	1	4	5	7	    	400	 8.0		 8.0						TONGA		TONGA ISLANDS	 -20.000	 -175.000	170																								
2642		1903	1	14	1	47	 36.0	33	 7.7		 7.7						MEXICO		MEXICO:  OFF COAST OF GUERRERO	  15.000	  -98.000	150																								
2644		1903	2	1	9	34	    	60	 7.8						 7.8		MONGOLIA		MONGOLIA	  48.000	   98.000	40																								
7101	Tsu	1903	2	10	2	28										7	USA TERRITORY	GU	GUAM	  14.000	  143.300	170								1				1								1				1
2645		1903	2	27	0	43	 18.0		 8.1		 8.1						INDONESIA		INDONESIA:  S OF JAVA	  -8.000	  106.000	170																								
2646		1903	3	29	22	30	    		 5.7						 5.7		ISRAEL		ISRAEL:  NABULUS	  32.200	   35.300	140	      20	1																						
6237	Tsu	1903	3	30				33	 6.5		 6.5						INDONESIA		INDONESIA:  TIFU, MASARETE, KAJELI	  -3.000	  127.500	170																								
2647		1903	4	19			    										TURKEY		TURKEY	  39.100	   42.400	140	    1700	4						3																
2649		1903	4	28	23	46			 6.3		 6.3					10	TURKEY		TURKEY:  MALAZGIRT	  39.100	   42.500	140	    3560	4				4		4	12000	4			    3560	4				4		4	12000	4		
2652		1903	5	13	6	34	  6.0	60	 7.9		 7.9						VANUATU		VANUATU ISLANDS	 -17.000	  168.000	170																								
7784	Tsu	1903	5	13													ITALY		ITALY:  PALERMO	  38.100	   13.400	130																								
2653		1903	5	28	3	58	    		 5.8						 5.8	8	TURKEY		TURKEY:  VARGINIS,CARDAHLI,MEHKEREK	  40.900	   42.700	140	    1000	3						3																
2656	Tsu	1903	6	2	13	17			 8.3		 8.3						USA	AK	ALASKA:  SOUTHWEST	  61.560	 -158.540	150																								
6238	Tsu	1903	7	16													MEXICO		MEXICO:  ACAPULCO	  16.700	  -99.200	150																								
2657		1903	7	28	4		    									12	ITALY		ITALY:  N	  44.300	   10.000	130																								
2658		1903	8	8	1	10	    		 7.7						 7.7		COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2660		1903	8	11	4	32	 54.0	100	 7.8		 7.8					11	GREECE		GREECE:  MITATA (KYTHERA)	  36.000	   23.000	130	       2	1						3					       2	1						3				
6554	Tsu	1903	9	7													TAIWAN		TAIWAN			30																								
2664		1903	9	25	1	20	    		 6.5						 6.5		IRAN		IRAN:  KASHMAR	  35.200	   58.200	140	     350	3																						
6540	Tsu	1903	9	26													CHILE		CHILE:  IQUIQUE	 -20.200	  -70.150	160																								
6239	Tsu	1903	12	7	14	25			 6.5		 6.5					8	CHILE		CHILE:  VALLENAR, FREIRINA	 -28.500	  -71.000	160		1						2		2				1						2		2		
2665		1903	12	28	2	56		60	 7.8		 7.8					8	PHILIPPINES		PHILIPPINES:  DAVAO GULF	   7.000	  126.000	170								2				3								2				3
2666	Tsu	1904	1	20	14	52	  6.0	60	 7.9		 7.9						COLOMBIA		PANAMA-COLOMBIA	   7.000	  -79.000	160																								
2667		1904	3	18	13	42	    	40	 7.6						 7.6	10	JAPAN		JAPAN:  HOKKAIDO	  42.500	  145.800	30								1																
2670		1904	4	4	10	3		15	 7.5		 7.5					10	BULGARIA		BULGARIA:  STRUMA	  41.800	   23.200	110								3												3				
2671		1904	4	4	10	27		15	 7.8		 7.8					11	BULGARIA		BULGARIA:  STRUMA	  41.800	   23.200	110								3												3				
7991		1904	4	24	6	39			 6.0		 6.0						TAIWAN		TAIWAN:  JIAYI	  23.500	  120.500	30	       3	1			        10	1		2	66	2			       3	1			10	1		2	66	2		
2676		1904	6	7	8	17	    	350	 7.9						 7.9		JAPAN		JAPAN:  SEA OF JAPAN	  40.000	  134.000	30																								
2678	Tsu	1904	6	25	14	45	 36.0	30	 8.3		 8.3				 7.7	10	RUSSIA		RUSSIA:  OFF KAMCHATKA	  52.000	  159.000	50								1												1				
2679	Tsu	1904	6	25	21	0	 36.0	30	 8.1		 8.1				 7.7	10	RUSSIA		RUSSIA:  OFF KAMCHATKA	  52.000	  159.000	50								1												1				
2682		1904	6	27	0	9	    	60	 7.9		 7.9				 7.9	9	RUSSIA		RUSSIA:  OFF KAMCHATKA	  52.000	  159.000	50																								
2683	Tsu	1904	8	8	22	51	    	33	 7.5						 7.5		NEW ZEALAND		NEW ZEALAND:  E OF NORTH ISLAND	 -40.500	  177.000	170																								
2684		1904	8	11	5	56		10	 6.2		 6.2					10	GREECE		GREECE:  SAMOS, PATMOS	  37.750	   27.000	130	       4	1						3	540	3	540	3	       4	1						3	540	3		
2688		1904	8	24	20	59	    	25	 7.9						 7.9		JAPAN		JAPAN:  KYUSHU	  30.000	  130.000	30																								
2690		1904	8	27	21	56			 8.3		 8.3	 7.8				6	USA	AK	ALASKA:  RAMPART	  64.660	 -148.080	150																								
2694		1904	8	30					 6.0		 6.0					8	CHINA		CHINA:  SICHUAN PROVINCE	  31.200	  100.900	30	     400	3						2		3			     400	3						2		3		
6242	Tsu	1904	9	7													INDONESIA		INDONESIA:  S. JAVA	  -7.700	  109.000	170																								
2695		1904	11	1	11		    		 7.7						 7.7		ECUADOR		ECUADOR	  -1.000	  -80.500	160																								
2696		1904	11	5	20	25			 6.3		 6.3				 6.3		TAIWAN		TAIWAN:  JIAYI	  23.500	  120.300	30	     145	3			       158	3		2	661	3			     145	3			158	3		2	661	3		
2700	Tsu	1904	12	20	5	44	 18.0	60	 7.2	 7.2	 7.3						PANAMA		PANAMA:  BOCAS DEL TORO	   9.200	  -82.800	100																								
2702		1905	1	22	2	43	 54.0	90	 8.4		 8.4						INDONESIA		INDONESIA:  MINAHASSA PENINSULA	   1.000	  123.000	170																								
2703		1905	2	14	8	46			 7.9		 7.9	 7.5					USA	AK	ALASKA:  ANDREANOF ISLANDS	  50.730	 -178.550	150																								
2707		1905	3	18	0	58	    	60	 7.5						 7.5		KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS	 -27.500	 -173.000	170																								
9194	Tsu	1905	3	19													VANUATU		VANUATU:  MALO PASS	 -15.600	  167.200	170																								
2709	Tsu	1905	4	4	0	50	    	25	 7.8		 7.8					10	INDIA		INDIA:  KANGRA	  33.000	   76.000	60	   19000	4						4					   19000	4						4				
2710		1905	4	15				33	 6.5		 6.5					10	TURKEY		TURKEY	  40.200	   29.000	140																								
2711		1905	4	25			    										IRAN		IRAN:  BANDAR ABBAS,QESHM,HENGAM	  26.400	   56.300	140								2																
2712		1905	5	9			    										MEXICO		MEXICO:  JALISCO	  20.300	 -103.400	150								3																
2713		1905	5	18	13	45	    	60	 7.5						 7.5		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -4.000	  149.000	170																								
2715		1905	6	1	4	42		20	 6.6						 6.6	10	ALBANIA		ALBANIA:  SHKODER	  42.100	   19.600	130	     120	3					      23.800	3																
2717		1905	6	2	5	39	 42.0	100	 7.8		 7.8						JAPAN		JAPAN:  AKI	  34.000	  132.000	30	      11	1						1	59	2	59	2	      11	1						1	59	2		
2718		1905	6	30	17	7	    	60	 7.6						 7.6		KIRIBATI		KIRIBATI:  PHOENIX ISLANDS	  -1.000	 -168.000	170																								
2719	Tsu	1905	7	6	16	21	    	33	 7.0		 7.0						JAPAN		JAPAN:  OFF FUKUSHIMA	  37.400	  142.600	30													      57	2										
2722		1905	7	9	9	40	 24.0	33	 8.4	 8.4	 8.3						MONGOLIA		MONGOLIA	  49.000	   99.000	40																								
2726		1905	7	23	2	46	 12.0	33	 8.4	 8.4	 8.7						MONGOLIA		MONGOLIA	  49.000	   98.000	40																								
2728		1905	8	26	14	45	    									12	ITALY		ITALY:  CENTRAL	  42.100	   13.900	130																								
2729		1905	9	1	2	45	    	230	 7.5						 7.5		JAPAN		JAPAN:  HOKKAIDO	  45.000	  143.000	30																								
2732	Tsu	1905	9	8	1	43			 7.9		 7.9					10	ITALY		ITALY:  MONTELEONE,TROPEA,NONTE PORO	  39.000	   16.000	130	     557	3						3																
2735		1905	9	15	6	2	    	60	 7.8						 7.8		RUSSIA		RUSSIA:  KOMANDORSKY ISLAND	  53.000	  164.000	50																								
6506	Tsu	1905	10	4	22	29			 5.1		 5.1					7	RUSSIA		RUSSIA:  BLACK SEA	  44.500	   37.500	40																								
2736		1905	10	8	7	27	    	33	 6.4						 6.4	10	BULGARIA		BULGARIA	  42.000	   23.000	110																								
2737	Tsu	1905	10	21	11	1	 37.0	60	 7.5		 7.5						GEORGIA		GEORGIA:  CAUCASUS	  42.000	   42.000	40																								
8109		1905	11	8	3	27			 5.0		 5.0					6	CHINA		CHINA:  SICHUAN PROVINCE	  29.300	  104.800	30	      13	1				1		1	3	1	3	1	      13	1				1		1	3	1		
2739		1905	11	8	21	41		30	 7.8		 7.8					10	GREECE		GREECE:  AEGEAN SEA	  40.250	   24.200	130																								
9192	Tsu	1905	11	22													VANUATU		VANUATU:  PORT VILA	 -17.700	  168.300	170																								
9193	Tsu	1905	11	24													VANUATU		VANUATU:  PORT VILA	 -17.700	  168.300	170																								
2743		1905	12	4	7	4	    		 6.8						 6.8	9	TURKEY		TURKEY:  PUTURGE,CELIKHAN,RUMKALE	  38.100	   38.600	140		3						3																
6245	Tsu	1905	12	8	8	22			 6.5		 6.5						PHILIPPINES		PHILIPPINES:  W. LUZON ISLAND:  TUBURAN	  11.000	  123.500	170								1												1				
2701		1905														8	SYRIA		SYRIA:  RASUM-KALE (NEAR HALAB); LEBANON:  BAYRONT	  36.100	   37.100	140								2		3		3								2		3		
9915	Tsu	1905															TUNISIA		TUNISIA:  BIZERTE	  37.300	    9.900	15																								
7992		1906	1	7					 5.5		 5.5					7	CHINA		CHINA:  YUNNAN PROVINCE	  26.600	  104.100	30		3						2		3				3						2		3		
2744		1906	1	21	13	49	 35.0	340	 8.4		 8.4						JAPAN		JAPAN:  NEAR S COAST HONSHU	  34.000	  138.000	30																								
6899	Tsu	1906	1	31	5	24											VENEZUELA		VENEZUELA:  CARACAS	  10.500	  -66.917	90																								
2748	Tsu	1906	1	31	15	35	 51.0	25	 8.6	 8.6	 8.6	 8.2				9	ECUADOR		ECUADOR:  OFF COAST	   1.000	  -81.500	160	    1000	3						2		3			    1000	3						3		3		
2753		1906	2	3					 7.7		 7.7					10	COLOMBIA		COLOMBIA	   3.500	  -76.200	160																								
6627	Tsu	1906	2	7													ECUADOR		COLOMBIA-ECUADOR	   1.000	  -81.000	160																								
6717		1906	2	16												8	SAINT LUCIA		SAINT LUCIA:  CASTRIES	  14.000	  -61.000	90								1												1				
7265	Tsu	1906	2	21													COLOMBIA		COLOMBIA: BUENAVENTURA	   3.900	  -77.033	160																								
2757		1906	3	1	17	45	    	15	 6.5						 6.5	10	ALBANIA		ALBANIA:   ELBASAN	  41.100	   20.000	130								3																
2762		1906	3	16	22	42	 40.0		 6.8		 6.8						TAIWAN		TAIWAN:  JIAYI	  23.600	  120.500	30	    1258	4			       145	3		3	6769	4			    1258	4			145	3		3	6769	4		
8110		1906	3	28					 6.5		 6.5					8	CHINA		CHINA:  FUJIAN PROVINCE	  24.500	  118.500	30		3				2		2		2				3				3		2		2		
2764		1906	4	10	21	22	    	60	 7.5						 7.5		MEXICO		MEXICO:  REVILLA GIGEDO ISLANDS	  19.000	 -113.800	150																								
2766		1906	4	13	19	18			 6.5		 6.5						TAIWAN		TAIWAN:  JIAYI	  23.400	  120.400	30	      15	1			        84	2		3	1794	4			      15	1			84	2		3	1794	4		
2768	Tsu	1906	4	18	13	12	 21.0	20	 7.9	 7.9	 7.8				 8.3	11	USA	CA	CALIFORNIA:  SAN FRANCISCO	  37.670	 -122.480	150	     700	3					     400.000	4	28188	4														
6617	Tsu	1906	5	7				33									CHILE		CHILE:  ARICA; PERU: TACNA	 -18.500	  -70.300	160																								
2771		1906	5						 5.3		 5.3					7	CHINA		CHINA:  YUNNAN PROVINCE	  24.600	   98.600	30	       1	1						2		3			       1	1						2		3		
2772		1906	7	11					 7.7		 7.7					9	COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2773		1906	7	14	10	27	    		 7.7		 7.7					9	COLOMBIA		COLOMBIA	   4.600	  -74.000	160																								
2777		1906	8	17	0	10	 42.0	25	 7.8		 7.8				 8.3		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS	  51.050	  179.690	150																								
2779	Tsu	1906	8	17	0	40		25	 8.2	 8.2	 8.4				 8.6	11	CHILE		CHILE:  SOUTH CENTRAL	 -33.000	  -72.000	160	    4000	4					     100.000	4					    4000	4					     100.000	4				
2780		1906	8	25			    		 6.8						 6.8		ETHIOPIA		ETHIOPIA:  SHOA	   9.000	   38.400	10																								
2782	Tsu	1906	9	14	16	4	 18.0	33	 8.0	 8.0	 7.5	 7.8					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -7.000	  149.000	170		2						3		3				2						3		3		
2783		1906	9	17	10		    									12	ITALY		ITALY:  SICILY	  38.000	   13.700	130																								
2784	Tsu	1906	9	28	15	24	 54.0	150	 7.9		 7.9					7	ECUADOR		ECUADOR	  -2.000	  -79.000	160																								
2787	Tsu	1906	10	2	1	50			 7.2	 7.2	 7.2						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -4.000	  149.000	170								1												1				
2788		1906	11	19	7	18	    		 7.8						 7.8		AUSTRALIA		AUSTRALIA:  WEST COAST	 -22.000	  109.000	170																								
2789	Tsu	1906	11	20	21	0			 5.0					5		8	GHANA		GHANA:  HO, AKPAFU, PALIME, MISA, ACCRA; TOGO	   6.500	     .300	10								2		3										2		3		
2790		1906	12	3	22	59	    	100	 7.9		 7.9						MARTINIQUE		MARTINIQUE	  15.000	  -61.000	90																								
2794		1906	12	22	18	21		33	 8.3		 8.3					9	CHINA		CHINA:  XINJIANG PROVINCE	  43.500	   85.000	40	     280	3						3	2000	4			     280	3						3	2000	4		
2796		1906	12	23	17	22			 7.6						 7.6		USA	AK	ALASKA:  ALEUTIAN ISLANDS	  56.850	 -153.900	150																								
2798	Tsu	1906	12	26	6	53	 28.0	33	 7.9		 7.9						PERU		PERU:  OFF SOUTH COAST	 -18.000	  -71.000	160																								
2800	Tsu	1907	1	4	5	19	 12.0	50	 7.8		 7.8						INDONESIA		INDONESIA:  NW SUMATRA:  GUNUNGSITOLi, BARUS	   2.000	   94.500	170								3		3		3	     400	3						3		3		
2801	Tsu	1907	1	14	21	36	    		 6.5						 6.5		JAMAICA		JAMAICA:  KINGSTON	  18.200	  -76.800	90	    1000	3					      30.000	4		3			    1000	3					      30.000	4		3		
2802		1907	2	21	1		    									12	ITALY		ITALY:  SICILY	  38.000	   13.700	130																								
2803		1907	2	23	20	17	    	90	 7.6						 7.6		PERU		PERU	 -13.200	  -75.400	160																								
6246	Tsu	1907	3	29	20	46	 30.0	500	 7.3		 7.3						INDONESIA		INDONESIA:  TALAUD ISLANDS:  KARAKELONG ISLAND	   3.000	  122.000	170																								
2804	Tsu	1907	4	15	6	8	  6.0	60	 8.3		 8.3						MEXICO		MEXICO:  GUERRERO	  17.000	 -100.000	150	       8	1						2		3			       8	1						2		3		
2807		1907	4	18	20	59	 48.0		 7.6		 7.6					9	PHILIPPINES		PHILIPPINES:  SE LUZON:  CAMARINES	  14.000	  123.000	170	       2	1				1		3					       2	1				1		3				
7866		1907	4	18	23	52	  4.0		 7.4		 7.4					7	PHILIPPINES		PHILIPPINES:  SE LUZON:  CAMARINES	  13.500	  123.000	170								1												1				
2808		1907	5	4	6	51	    	60	 7.7						 7.7		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -7.500	  153.700	170																								
2810		1907	5	25	14	2	  8.0	600	 7.9		 7.9						RUSSIA		RUSSIA:  SEA OF OKHOTSK	  51.500	  147.000	50																								
2811		1907	5	25	15	32										8	PHILIPPINES		PHILIPPINES:  N LUZON:  TUGUEGARAO,LAOAG,N ILOCOS	  18.000	  120.000	170								2																
2813		1907	6	25	17	54	 36.0	200	 7.9		 7.9						INDONESIA		INDONESIA:  DJAILOLO GILOLO	   1.000	  127.000	170																								
2814		1907	7	30												8	INDONESIA		INDONESIA:  SULAWESI:  LEMO, COLO, ANJA, OLU CONGKO	  -2.000	  121.000	170								2	213	3										2	213	3		
2815		1907	8	16	13		    	13	 6.2						 6.2	10	ALBANIA		ALBANIA	  41.100	   20.100	130																								
2816		1907	9	2	16	1			 7.8		 7.8	 7.3					USA	AK	ALASKA:  ALEUTIAN ISLANDS	  52.590	 -169.730	150																								
8053	Tsu	1907	9	24	12	59			 5.5		 5.5					5	USA	AK	ALASKA:  SKAGWAY	  59.500	 -135.500	150																								
2819		1907	10	16	14	57	    	60	 7.7						 7.7		MEXICO		MEXICO:  GULF OF CALIFORNIA	  28.000	 -112.500	150																								
2821		1907	10	21	4	23	 36.0	35	 7.4		 7.4					9	TAJIKISTAN		TAJIKISTAN:   KARATAG	  38.500	   67.900	40	   12000	4						3		3			   12000	4						3		3		
2827	Tsu	1907	10	23	20	28	 19.0	33	 5.9		 5.9					10	ITALY		ITALY:  FERRUZANO	  38.133	   16.017	130	     158	3						2		3			     158	3						2		3		
2828		1907	11	16	10	10	    	150								6	PERU		PERU	  -8.010	  -76.790	160																								
2829		1907	11	24	13	59										9	PHILIPPINES		PHILIPPINES:  SE LUZON:  CAMARINES	  14.000	  123.000	170								2												2				
6249	Tsu	1907	12	15	17	35		33	 7.4		 7.4						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -3.100	  142.500	170																				2		3		
10011	Tsu	1907															TONGA		TONGA ISLANDS:  S OF TONGA	 -21.170	 -175.730	170																								
6250	Tsu	1908	2	6				130	 7.5		 7.5						INDONESIA		SW. SUMATRA	  -2.000	  100.000	170																								
6251	Tsu	1908	2	14	11	25			 6.0		 6.0						USA	AK	ALASKA GULF	  61.000	 -146.200	150																								
2832		1908	3	5	2	16			 7.5		 7.5						PHILIPPINES		PHILIPPINES:  MINDANAO	   9.000	  126.000	170																								
7527	Tsu	1908	3	23	12	20			 6.6		 6.6						INDONESIA		INDONESIA:  TIMOR	 -10.000	  129.000	170								1												1				
2833		1908	3	26	23	3	 30.0	80	 8.1		 8.1						MEXICO		MEXICO:  GUERRERO	  18.000	  -99.000	150								2												2				
2835		1908	3	27	3	45	 30.0		 7.5		 7.5						MEXICO		MEXICO:  GUERRERO	  17.000	 -101.000	150																								
2836		1908	5	5	6	16			 7.5		 7.5						INDONESIA		INDONESIA:  CELEBES SEA	   3.000	  123.000	170																								
6252	Tsu	1908	9	21	6	31		33	 6.8		 6.8						USA	HI	HAWAII	  19.000	 -155.000	150																								
2838		1908	10	23	20	14	  6.0	220	 7.0		 7.0				 7.6		AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.500	   70.500	40																								
2840		1908	11	6	7	9	 30.0	40	 7.6		 7.6						RUSSIA		RUSSIA:  KURIL ISLANDS	  45.000	  150.000	50																								
2844	Tsu	1908	12	12	12	8		33	 8.2		 8.2						PERU		PERU:  OFF COAST	 -14.000	  -78.000	160																								
2842		1908	12	12					 7.5		 7.5						MYANMAR (BURMA)		MYANMAR (BURMA):  KACHIN	  26.500	   97.000	60																								
2846	Tsu	1908	12	28	4	20	 27.0	40	 7.0	 7.0	 7.2					11	ITALY		ITALY:  MESSINA, SICILY, CALABRIA	  38.170	   15.580	130	   78000	4					     116.000	4		4			   80000	4					     116.000	4		4		
2849		1909	1	19	4	56	    		 5.8						 5.8	9	TURKEY		TURKEY:  FOCA,MENEMEN,GUZELHISAR	  38.600	   26.900	140	       8	1						3																
2850		1909	1	23	2	48	 18.0	33	 7.7		 7.7						IRAN		IRAN:  SILAKOR	  33.000	   50.000	140	    5500	4						2					   55004	4						2				
2853		1909	1	29													MOROCCO		MOROCCO:  TETUAN (TETOUAN),ROMARS	  35.600	   -5.400	15	     100	2						3					     100	2						3				
2854		1909	2	9	11	24	    		 6.3						 6.3	9	TURKEY		TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS	  40.200	   37.800	140		3						3																
2856		1909	2	22	9	21	 42.0	550	 7.8		 7.8						FIJI		FIJI ISLANDS	 -18.000	 -179.000	170																								
6253	Tsu	1909	3	12	23	19			 6.7		 6.7						JAPAN		JAPAN:  CHOSHI	  34.500	  141.500	30								1												1				
2857	Tsu	1909	3	13	14	29		80	 7.5		 7.5						JAPAN		JAPAN:  YOKOHAMA	  34.500	  141.500	30								1												1				
2858		1909	3	18	16	30	    									8	PHILIPPINES		PHILIPPINES:  MINDANAO:  E	   8.000	  127.000	170								2																
2859		1909	3	23	3		    									12	ITALY		ITALY:  N	  44.500	   10.500	130																								
2860		1909	4	10	19	36			 7.8		 7.8						USA	AK	ALASKA: ALEUTIAN ISLANDS	  52.000	  175.000	150																								
2861		1909	4	14	19	53	 42.0		 7.3		 7.3						TAIWAN		TAIWAN:  TAIPEI	  25.000	  121.500	30	       9	1			        51	2		1	122	3			       9	1			51	2		1	122	3		
2864		1909	4	23	17	39	 36.0		 6.6		 6.6					10	PORTUGAL		PORTUGAL:  RIBATEJO, BENAVENTE	  38.900	   -8.800	130	      30	1						2		2		2	      30	1						2		2		
8158		1909	4	26													CAMEROON		CAMEROON:  BUEA	   4.200	    9.200	10								1																
2866		1909	5	11	15	54	 24.0		 6.5		 6.5					8	CHINA		CHINA:  YUNNAN PROVINCE	  24.400	  103.000	30	      21	1						2		3			      21	1						2		3		
2868	Tsu	1909	6	3	18	40	 48.0	40	 7.6		 7.6						INDONESIA		INDONESIA:  SW SUMATRA:  KERINTJI, REDJANGLEBONG	  -2.000	  101.000	170		3						3		3		3		3						3		3		
2870		1909	6	7	8	25	    									12	ITALY		ITALY:  CENTRAL	  43.200	   11.500	130																								
